binomial,count
Ocimum sanctum,417
Ocimum basilicum,90
Staphylococcus aureus,59
Ocimum gratissimum,53
Escherichia coli,52
Ocimum tenuiflorum,52
Enterococcus faecalis,44
Pseudomonas aeruginosa,42
Azadirachta indica,42
Candida albicans,35
Curcuma longa,31
Withania somnifera,30
O. sanctum,30
Ocimum americanum,26
Streptococcus mutans,26
Camellia sinensis,24
Salvia officinalis,22
Aloe vera,21
Allium sativum,20
O. basilicum,19
Emblica officinalis,18
Arabidopsis thaliana,18
Zingiber officinale,18
Fusarium oxysporum,17
Tinospora cordifolia,16
Momordica charantia,16
Ocimum kilimandscharicum,16
Syzygium aromaticum,15
Terminalia chebula,15
Rosmarinus officinalis,14
O. tenuiflorum,14
Centella asiatica,14
Vitis vinifera,14
Mangifera indica,14
Bacillus subtilis,14
Cinnamomum zeylanicum,13
Aegle marmelos,13
O. gratissimum,13
Nigella sativa,12
Salvia miltiorrhiza,12
Andrographis paniculata,12
Eugenia jambolana,12
Cronobacter sakazakii,12
Propionibacterium acnes,12
O. americanum,12
Aedes aegypti,11
Colletotrichum gloeosporioides,11
Fusarium graminearum,11
Psidium guajava,11
Glycyrrhiza glabra,11
Aspergillus flavus,11
Solanum lycopersicum,11
Nicotiana tabacum,11
Prevotella intermedia,11
Botrytis cinerea,10
Porphyromonas gingivalis,10
Thymus vulgaris,10
Cymbopogon citratus,10
Alternaria alternata,9
Adhatoda vasica,9
Piper betle,9
Phyllanthus emblica,9
Catharanthus roseus,9
Salvia guaranitica,9
Cassia fistula,9
Plasmodium falciparum,9
O. kilimandscharicum,9
Medicago sativa,9
E. coli,9
Ocimum micranthum,9
Staphylococcus epidermidis,9
Mentha piperita,9
Ocimum citriodorum,8
Aspergillus fumigatus,8
Citrus albicans,8
Carum copticum,8
Streptomyces coelicolor,8
Origanum vulgare,8
Salmonella typhimurium,8
Oryza sativa,8
U. dioica,8
Platostoma aeruginosa,8
Aspergillus niger,8
Leucas aspera,8
Ocimum canum,8
Aggregatibacter actinomycetemcomitans,8
Klebsiella pneumoniae,8
Artemisia annua,7
Acacia arabica,7
Bacillus cereus,7
Helicobacter pylori,7
Helicoverpa armigera,7
Culex quinquefasciatus,7
Ginkgo biloba,7
Lavandula angustifolia,7
Aloe barbadensis,7
Murraya koenigii,7
Ocimum africanum,6
Piper nigrum,6
Cannabis sativa,6
Rhizoctonia solani,6
Punica granatum,6
Coriandrum sativum,6
Thevetia neriifolia,6
Peronospora belbahrii,6
Citrus aurantifolia,6
Memecylon edule,6
Terminalia bellirica,6
Candida neoformans,6
Monarda citriodora,6
Brassica juncea,6
Mimusops elengi,6
Salvadora persica,6
Hyptis suaveolens,6
Ocimum labiatum,6
Carica papaya,6
Acorus calamus,6
Citrus limon,6
Coptidis rhizome,6
Bacillus pumilus,6
Piper longum,6
C. longa,6
Cissus quadrangularis,6
Citrus sinensis,5
Cajanus cajan,5
Chromobacterium violaceum,5
Mentha spicata,5
Nepeta cataria,5
Glycine max,5
Aspergillus parasiticus,5
Salmonella typhi,5
Centratherum anthelminticum,5
Moringa oleifera,5
Chelidonium majus,5
Streptococcus aureus,5
Memecylon umbellatum,5
Listeria monocytogenes,5
Syzygium cumini,5
Lawsonia inermis,5
Platostoma rotundifolium,5
Hypericum perforatum,5
Desmostachya bipinnata,5
Memecylon wightii,5
Pogostemon cablin,5
Mycobacterium tuberculosis,5
Memecylon malabaricum,5
Eucalyptus globulus,5
Ageratum conyzoides,5
Ocimum vulgare,5
Shigella flexneri,5
W. somnifera,5
Gymnema sylvestre,5
Acne vulgaris,5
Fusarium proliferatum,5
Proteus vulgaris,5
Selaginella moellendorffii,4
E. officinalis,4
Colletotrichum acutatum,4
Nardostachys jatamansi,4
Lactobacillus acidophilus,4
Solanum tuberosum,4
Zataria multiflora,4
Prunus persica,4
Salmonella aureus,4
Pulicaria glutinosa,4
Streptococcus pyogenes,4
Satureja hortensis,4
Melia azedarach,4
Pongamia pinnata,4
Calotropis procera,4
Fusarium verticillioides,4
Agrobacterium thaliana,4
Melissa officinalis,4
Sclerotinia sclerotiorum,4
Canna indica,4
Agrobacterium tumefaciens,4
Morinda citrifolia,4
Cladosporium tenuissimum,4
Osimum sanctum,4
Alpinia actinomycetemcomitans,4
Bhavana samskara,4
Buchholzia coriacea,4
Cinnamomum camphora,4
Mimulus guttatus,4
Salvia fruticosa,4
Thymus pulegioides,4
Brassica napus,4
Rhizoctonia bataticola,4
Chaetomium coarctatum,4
Rhizopus oryzae,4
M. charantia,4
Populus trichocarpa,4
Aedes paniculata,4
Mentha arvensis,4
Trachyspermum ammi,4
Memecylon talbotianum,4
Hyptis pectinata,4
Cronobacter violaceum,4
Gloriosa superba,4
Ca. sinensis,4
Macrophomina phaseolina,4
Meyerozyma phaseolina,4
Cynodon dactylon,4
Acacia nilotica,4
Cymbopogon flexuosus,4
Rhizopus stolonifer,4
Streptococcus pneumoniae,4
Aedes albopictus,4
Persea major,4
Ganoderma lucidum,4
Solanum xanthocarpum,4
Aedes stephensi,4
Satureja scardica,4
Hippophae rhamnoides,4
Pelargonium citrosum,4
Papaver somniferum,3
Rhaphidophora decursiva,3
N. sativa,3
Marrubium vulgare,3
O. filamentosum,3
Plumbago zeylanica,3
Satureja aureus,3
Bacillus amyloliquefaciens,3
Hanceola sinensis,3
M. indica,3
Trichophyton rubrum,3
Panax ginseng,3
Rauvolfia serpentina,3
Leonurus officinalis,3
Streptococcus sanguis,3
Candida krusei,3
Staphylococcus pyogenes,3
C. sativus,3
Leonurus cardiaca,3
Apium graveolens,3
Centratherum krusei,3
Selaginella lycopersicum,3
Jatropha curcas,3
Physcomitrella patens,3
Diplazium esculentum,3
Tinospora cardifolia,3
Ocimum kilmund,3
O. campechianum,3
Ci. tamala,3
Cymbopogon limon,3
Plasmodium berghei,3
Jatropha gossypifolia,3
Perilla frutescens,3
Achyranthes aspera,3
Salvia lycopersicum,3
Centratherum albicans,3
Rattus norvegicus,3
Streptomyces sp,3
Candida tropicalis,3
Salmonella enterica,3
Ziziphora tenuior,3
Streptococcus faecalis,3
Penicillium putida,3
Eucalyptus grandis,3
Diaporthe phaseolorum,3
Lantana camara,3
Glechoma hederacea,3
Allium cepa,3
G. biloba,3
Daucus carota,3
S. cumini,3
Ocimum campechianum,3
Artemisia sieberi,3
Fusobacterium nucleatum,3
S. officinalis,3
Triticum aestivum,3
Cryptococcus neoformans,3
R. damascena,3
Ficus benghalensis,3
Boehmeria nivea,3
Calendula officinalis,3
Garcinia pedunculata,3
Xylopia aethiopica,3
B. monosperma,3
Satureja lateriflora,3
Citrus jambhiri,3
Podophyllum hexandrum,3
Prevotella gingivalis,3
Myrtus communis,3
Ficus religiosa,3
Pterocarpus marsupium,3
Silybum marianum,3
S. mutans,3
Justicia adhatoda,3
Sesamum indicum,3
Anopheles stephensi,3
E. angustifolia,3
Saccharomyces cerevisiae,3
S. aureus,3
Proteus mirabilis,3
Viola odorata,3
Artemisia thaliana,3
A. thaliana,3
Ocimum adscendens,3
Satureja lotsyi,3
Ocimum sacharicum,3
Staphylococcus mutans,3
O. polystachyon,3
Sorghum bicolor,3
Chenopodium aristatum,3
Avena sativa,3
Spinacia oleracea,3
Euterpe oleracea,3
Taxus brevifolia,3
Ocimum majorana,3
Fagonia arabica,3
Cu. longa,3
Ferula gummosa,3
Rhinacanthus nasutus,3
Klebsiella pneumonia,3
Salmonella enteritidis,2
R. sativus,2
Bauhinia variegata,2
Cinnamomum albicans,2
Salvia santolinifolia,2
Capsicum sativum,2
Coriandrum angustifolia,2
Bipolaris maydis,2
Piper betel,2
Satureja lavandulifolia,2
Elaeocarpus ganitrus,2
Colocasia esculenta,2
R. cordifolia,2
V. thapsus,2
Lamium garganicum,2
A. calamus,2
Brassica rapa,2
Echinacea purpurea,2
J. nudiflorum,2
Solanum littoralis,2
Oliveria decumbens,2
Satureja mutants,2
Hypoxylon sp,2
Salvia allagospadonopsis,2
Podophyllum peltatum,2
Melissa vulgare,2
Celtis africana,2
Datura metel,2
Nerium oleander,2
Satureja sobrinus,2
Piper tuberosa,2
Tetrapagon tenellus,2
Brassica campestris,2
Olea tenuiflorum,2
Satureja byzantina,2
Cinnamomi cortex,2
Salvia nipponica,2
Capsicum aromaticus,2
Citrus tropicalis,2
Avena lebbeck,2
Actinoplanes campanulatus,2
Citrus nardus,2
Hedychium spicatum,2
Piper rosea,2
O. canum,2
Usnea barbata,2
Streptomyces virginiae,2
Trypanosoma brucei,2
Salvia acetabulosa,2
P. aeruginosa,2
Mucor suaveolens,2
Boesenbergia pandurata,2
Coptis chinensis,2
Satureja salivarius,2
Streptomyces griseus,2
Commiphora opobalsamum,2
Cannabis cortex,2
Melissa piperita,2
Zingiber cassumunar,2
Streptomyces avermitilis,2
Croton zambesicus,2
Glycyrrhizae radix,2
Chlorophytum arendinaceum,2
Podophyllum pubescens,2
Canna albicans,2
Turmeric curcumin,2
Benincasa hispida,2
Carthamus tinctorius,2
R. norvegicus,2
Hypocrea lixii,2
Stachys lavandulifolia,2
Streptomyces filipinensis,2
Ocimum minimum,2
Elymus purpurea,2
Meyerozyma guilliermondii,2
Micromonospora chalcea,2
Tridax procumbens,2
Penicllium aeruginosa,2
Lepidium sativum,2
Ocimum bacilicum,2
Theobroma cacao,2
Commelina communis,2
Streptococcus mutants,2
Avena farnesiana,2
Paeoniae radix,2
Gossypium hirsutum,2
Aspergillus alternaria,2
Nicotiana tabaccum,2
Foeniculum vulgare,2
Micrococcus luteus,2
Jatropha adhatoda,2
Capsicum annuum,2
Rhazya stricta,2
Hibiscus sabdariffa,2
Gnidia glauca,2
Ficus septica,2
Centratherum dubliniensis,2
Saussurea lappa,2
M. phaseolina,2
Streptomyces atrovirens,2
Baccharis dracunculifolia,2
Phyllostachys pubescens,2
Centratherum glabrata,2
Trigonella foenumgraecum,2
P. paniculata,2
Satureja stricta,2
Platanus occidentalis,2
Haemophilus influenzae,2
Fusarium culmorum,2
C. limon,2
Gardenia jasminoides,2
Syzygium cuminum,2
A. holosericea,2
Acorus tuber,2
Doipyros kaki,2
Enterobacter aerogenes,2
Streptococcus salivarius,2
Selaginella miltiorrhiza,2
Salvia nemorosa,2
Carica limon,2
S. americanum,2
Sargassum bovinum,2
Momordica cochinchinensis,2
Lactobacillus brevis,2
Centratherum tropicalis,2
Bombax ceiba,2
Dioscorea bulbifera,2
Apium tumefaciens,2
Digitalis nodosa,2
Picrorhiza kurroa,2
F. benghalensis,2
Acacia viscosus,2
Avena vera,2
Triticum sativum,2
Zingiber officinalis,2
Agrimonia sativum,2
Hansenula saturnus,2
Elymus maculata,2
Malva verticillata,2
Pueraria tuberosa,2
Bacopa monniera,2
E. helioscopia,2
Psidium aeruginosa,2
Mangifera fragrance,2
Satureja khuzestanica,2
Rakta mokshana,2
Gingko biloba,2
Vitex negundo,2
Sinapis alba,2
Caesalpinia bonducella,2
Pseudomonas putida,2
Streptococcus pneumonia,2
Rumex palustris,2
Centratherum parapsilosis,2
Salvia chloroleuca,2
Alternaria brassicicola,2
Vibrio cholerae,2
Capsicum citratus,2
M. azadirachta,2
Scutellaria lateriflora,2
Rheum officinalis,2
Salvia przewalskii,2
Melissa spicata,2
Neisseria gonorrhea,2
Ocimum kilimandschericum,2
Ageratum cepa,2
Euphorbia granulate,2
Salvia cumini,2
Salvia isensis,2
Melissa aquatica,2
Delphinium denudatum,2
Inula helenium,2
Avena scoparia,2
Phytophthora capsici,2
Datura stramonium,2
Valeriana wallichii,2
Sapindus mukorrossi,2
Erythranthe guttata,2
Ochrobactrum rhizosphaerae,2
Vigna radiata,2
S. guaranitica,2
Rosa mosqueta,2
Salvia tuxtlensis,2
Piper sarmentosum,2
Avena arvensis,2
Ocimum tenuflorium,2
Persea americana,2
Anogeissus latifolia,2
Salvia leriifolia,2
Salvia japonica,2
Avena arabica,2
Panax quinquefolium,2
Citrus neoformans,2
Lamium purpureum,2
Nelumbo nucifera,2
Raphanus sativus,2
Cinnamomum tamala,2
Jasminum grandiflorum,2
Cannabis sativus,2
Tectona grandis,2
Aegle paniculata,2
Salvia compressa,2
Streptococcus sobrinus,2
Cinnamomum cassia,2
Cunninghaimia lanceolata,2
P. pubescens,2
A. scholaris,2
Agrimonia cepa,2
M. speciosa,2
Citrus medicalinn,2
T. bellerica,2
Ipomoea batatas,2
Streptococcus sorbinus,2
Staphylococcus epidermis,2
Thlaspi arvense,2
A. fraasii,2
Sorghum saccharatum,2
Salvia lavandulifolia,2
Jasimunum nudiflorum,2
Arctium lappa,2
Barleria prionitis,2
Fusobacterium necrophorum,2
Escherichia faecalis,2
Avena roylei,2
Butea monosperma,2
Capsicum longa,2
Commiphora molmol,2
Camelia sinensis,2
Helianthus annuus,2
Streptococcus sanguinis,2
Artemisia tumefaciens,2
Trigonella foenum,2
Melaleuca alternifolia,2
Satureja mirzayanii,2
F. religiosa,2
Desmodium gangeticum,2
A. dracunculus,2
C. citratus,2
Pisum sativum,2
Sapindus mukorossi,2
Thymus polium,2
S. supinus,2
Botrytis maydis,2
Citrus bergamia,2
S. typhimurium,2
Cinnamomum verum,2
Inula verum,2
Digitalis ciliaris,2
Enterobacter sakazakii,2
Streptococcus mitis,2
R. officinalis,2
Xanthomonas axonopodis,2
Anacardium occidentale,2
Psidium gingivalis,2
Artemisia seiberi,2
Dodonaea viscosa,2
A. taygetea,2
Cacumen platycladi,2
Mentha suaveolens,2
Bacillus licheniformis,2
Penicillium digitatum,2
Candida glabrata,2
Mangifera piperita,2
Aspergillus tenuissima,2
Candida dubliniensis,2
Enterobacter cloacae,2
Penicllium digitatum,2
Asparagus adscendens,2
Linum usitatissimum,2
Emblica globules,2
Leonurus purpureum,2
Artemia salina,2
Amaranthus spinosus,2
Satureja inflata,2
Boswellia serrata,2
Salmonella pneumoniae,2
Streptomyces spiralis,2
Mentha pulegium,2
Satureja sanguis,2
Cinnamom zeylanicum,2
Acne fulminans,2
Memecylon talbotianium,2
Salvia hydrangea,2
Matricaria chamomilla,2
Enterococcus coli,2
Lavandula hybrida,2
Ocimum selloi,2
Solanum dulcamara,2
Hamamelis virginiana,2
S. miltiorrhiza,2
Oenothera biennis,2
Paeciloneuron indicum,2
Origanum compactum,2
Betonica officinalis,2
Cannabis sinensis,2
Coriandrum didymus,2
Rosa damascene,2
Alternaria tenuissima,2
L. acidophilus,2
Aconiti tuber,2
P. nodiflora,2
Coriandrum bonariensis,2
Elymus viminalis,2
Salvia aureus,2
Capsicum asiatica,2
O. carnosum,2
Mangifera koenigii,2
Ocimum viride,2
S. sanguis,2
Lavandula officinalis,2
Chenopodium ambrosioides,2
A. paniculata,2
H. antidysenterica,2
Holarrhena antydysentria,2
P. hysterophorus,2
Curcuma albicans,2
Mentha longifolia,2
Malva indica,2
Aloe paniculata,2
V. faba,2
Barleria lupulina,2
Salvia tomentosa,2
Bauhinia purpurea,2
Ocimum suave,2
Ampelopteris prolifera,2
Cladosporium albicans,2
Solanum typhimurium,2
Ascarina lucida,2
Ficus fistulosa,2
O. citriodorum,2
Z. armatum,2
Trollius ledebouri,2
C. colocynthis,2
Candida parapsilosis,2
S. mitis,2
Ocimum sativa,2
Citrus aurantium,2
Clerodendrum phlomidis,2
L. barbarum,2
Coriandrum pepo,2
Myristica fragrance,2
S. marianum,2
Salvia glabrescens,2
Ocimun sanctum,2
Satureja bachtiarica,2
Epifagus virginiana,2
Allium roylei,2
Eucalyptus camaldulensis,2
Aedes stephenesi,2
Aegle marmelose,2
Trollius chinensis,2
Terminalia belerica,2
O. adscendens,2
Litsea nobilis,2
Magnolia officinalis,2
Stephania tetrandra,1
Nepeta cateria,1
Streptomyces aureus,1
Cecropia pachystachya,1
Colletotrichum zeylanicum,1
Streptomyces violaceus,1
Carthamus ticntorius,1
O. campechanium,1
Artemisia nilargirica,1
Achillea millefolium,1
Pisonia alba,1
O. viride,1
Fusarium solani,1
Solanum anguivi,1
Carum krusei,1
Avena spinosus,1
Codonopsis pilosula,1
Z. multiflora,1
Podophyllum emodii,1
S. faecalis,1
Triaanthema monogyna,1
Cucumis sativus,1
Poncirus trifoliata,1
Amycolatopsis orientalis,1
Enterobacter faecalis,1
Bungarus fasciatus,1
Origanum syriacum,1
Medicago trucatula,1
Cymbopogon martini,1
Scutellaria baicalensis,1
Atropa belladonna,1
Pseudomonas aeruginos,1
Garcinia mangostana,1
Rhizophora mucronata,1
Stachytarpheta jamaicensis,1
Diospyros quaesita,1
Colletotrichum orbiculare,1
S. bengalensis,1
Eupatorium cannabinum,1
Salvia epidermindis,1
Cassia tora,1
Peltophorum pterocarpum,1
Rumex crispus,1
Actinidia deliciosa,1
Vata kaphaghna,1
Capsicum annum,1
Hansenula spontaneum,1
Devosia mutans,1
Diospyros kaki,1
Medicago truncatula,1
Euphorbia condylocarpa,1
Penicillium persica,1
Statistical analysis,1
Wilayati tulsi,1
Parinari capensis,1
Lonicera hypoglauca,1
Dunaliella salina,1
O. selloi,1
Fusarium subglutinans,1
Bacillus megaterium,1
Bidens pilosa,1
Sambucus nigra,1
Moutan cortex,1
Porphyromonas emblica,1
Leonotis leonurus,1
Argemone mexicana,1
Geum quellyon,1
Ceratopteris borivialinum,1
Vitis vinefera,1
Cymbopogon lanceolata,1
Artemisia nilagirica,1
Galleria mellonella,1
Epinephelus coioides,1
Coccinia indica,1
Sarcandra glabra,1
Uncaria tomentosa,1
Spirodela polyrhiza,1
Salvia mirzayanii,1
Rosa indica,1
Brevibacillus agri,1
Eugenia aromaticum,1
Origanum majorana,1
Tridax procumbers,1
Spodoptera littoralis,1
Curcuma zedoaria,1
Matricaria aquifolium,1
